Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,1131.0,1137.0,1119.0,1125.9000244140625,1082.741943359375,76848.0
2015-01-02,1125.050048828125,1139.0,1123.550048828125,1127.8499755859375,1084.616943359375,172991.0
2015-01-05,1127.8499755859375,1144.5,1126.050048828125,1131.5999755859375,1088.223388671875,137885.0
2015-01-06,1129.550048828125,1135.5999755859375,1090.75,1097.9000244140625,1055.8148193359375,164585.0
2015-01-07,1110.0,1114.0,1079.75,1106.5,1064.0853271484375,208499.0
2015-01-08,1110.050048828125,1139.0,1103.699951171875,1126.3499755859375,1083.1744384765625,228503.0
2015-01-09,1134.300048828125,1136.800048828125,1106.050048828125,1124.6500244140625,1081.539794921875,148255.0
2015-01-12,1126.0,1129.8499755859375,1112.0,1118.449951171875,1075.5772705078125,59612.0
2015-01-13,1119.0,1157.199951171875,1119.0,1150.0999755859375,1106.01416015625,327470.0
2015-01-14,1154.4000244140625,1178.6500244140625,1152.0,1160.550048828125,1116.063720703125,338840.0
2015-01-15,1162.050048828125,1168.550048828125,1140.0,1147.9000244140625,1103.8984375,117612.0
2015-01-16,1155.75,1191.5,1151.800048828125,1185.800048828125,1140.3455810546875,343994.0
2015-01-19,1203.0,1209.0,1192.0999755859375,1200.25,1154.24169921875,417946.0
2015-01-20,1201.0999755859375,1220.0,1195.449951171875,1210.699951171875,1164.291015625,194900.0
2015-01-21,1220.0,1237.949951171875,1212.3499755859375,1224.9000244140625,1177.94677734375,257565.0
2015-01-22,1224.9000244140625,1248.800048828125,1224.9000244140625,1241.699951171875,1194.1029052734375,192743.0
2015-01-23,1246.0,1307.800048828125,1242.050048828125,1294.0999755859375,1244.4940185546875,241916.0
2015-01-27,1285.0,1367.050048828125,1276.550048828125,1349.1500244140625,1297.4342041015625,372173.0
2015-01-28,1345.0,1439.9000244140625,1332.0,1421.5,1367.0107421875,473816.0
2015-01-29,1411.0,1416.8499755859375,1353.199951171875,1359.3499755859375,1307.2430419921875,228610.0
2015-01-30,1389.949951171875,1390.0999755859375,1301.6500244140625,1313.550048828125,1263.1988525390625,294980.0
