Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,492.23748779296875,495.5,489.2250061035156,493.6000061035156,367.770751953125,2002764.0
2015-01-02,493.0,504.76251220703125,493.0,503.29998779296875,374.9980773925781,6778320.0
2015-01-05,502.4750061035156,507.5,494.375,498.9750061035156,371.77557373046875,9937024.0
2015-01-06,495.0,496.25,483.5249938964844,488.54998779296875,364.00811767578125,9667316.0
2015-01-07,491.25,493.6875,487.5,490.88751220703125,365.7497863769531,7249916.0
2015-01-08,496.3999938964844,499.25,487.5,493.36248779296875,367.5938415527344,13564920.0
2015-01-09,495.0249938964844,527.25,478.26251220703125,518.6124877929688,386.40704345703125,44863328.0
2015-01-12,523.0,529.7999877929688,518.75,528.9874877929688,394.13726806640625,12758888.0
2015-01-13,526.9500122070312,526.9500122070312,518.75,522.2249755859375,389.0986633300781,8801236.0
2015-01-14,524.625,533.25,523.1500244140625,532.1624755859375,396.5028076171875,9921260.0
2015-01-15,533.7999877929688,538.2000122070312,528.0625,533.5625,397.54595947265625,8342452.0
2015-01-16,537.0,540.0,528.0,529.5750122070312,394.57501220703125,6690960.0
2015-01-19,530.0,533.0875244140625,523.6500244140625,525.625,391.6319274902344,4087744.0
2015-01-20,526.75,533.25,525.3624877929688,531.0499877929688,395.67401123046875,6804504.0
2015-01-21,532.875,543.9874877929688,529.5,542.4749755859375,404.18646240234375,8494908.0
2015-01-22,543.7000122070312,550.75,540.3250122070312,549.1124877929688,409.1319274902344,9958396.0
2015-01-23,550.0,556.25,541.2750244140625,553.7625122070312,412.59661865234375,9486328.0
2015-01-27,555.25,555.25,532.5250244140625,534.125,397.9651184082031,13739968.0
2015-01-28,537.5,538.7000122070312,532.5750122070312,536.1375122070312,399.464599609375,13134356.0
2015-01-29,536.25,537.4749755859375,531.9000244140625,536.375,399.6415100097656,15369424.0
2015-01-30,540.375,540.6375122070312,531.7374877929688,535.4749755859375,398.9709167480469,10833744.0
2015-02-02,535.375,538.0,531.5125122070312,534.2125244140625,398.0303039550781,8702540.0
2015-02-03,534.2125244140625,534.9874877929688,525.5,530.2249755859375,395.0592041015625,5265956.0
2015-02-04,534.9749755859375,537.5,531.5999755859375,535.7125244140625,399.1479187011719,5160016.0
2015-02-05,537.7000122070312,555.0,537.0,548.4500122070312,408.6383361816406,11875936.0
2015-02-06,551.25,561.9500122070312,547.125,557.625,415.4744567871094,7453728.0
2015-02-09,550.0,563.5,550.0,562.2249755859375,418.90185546875,6536868.0
2015-02-10,560.75,574.5,560.25,569.5750122070312,424.3782043457031,8516920.0
2015-02-11,570.125,573.2999877929688,564.0625,571.2125244140625,425.59820556640625,5796972.0
2015-02-12,570.75,580.4874877929688,568.25,577.7999877929688,430.5063781738281,6287536.0
2015-02-13,574.9000244140625,581.6749877929688,571.5,574.0250244140625,427.6937561035156,5657516.0
2015-02-16,570.0750122070312,576.7249755859375,566.3125,569.6875,424.46197509765625,6244276.0
2015-02-18,572.6375122070312,576.2374877929688,564.5374755859375,574.125,427.7682800292969,8613764.0
2015-02-19,573.5,583.5,573.0125122070312,581.1749877929688,433.0210876464844,9673624.0
2015-02-20,582.125,584.0,569.2249755859375,570.7750244140625,425.2723388671875,6971628.0
2015-02-23,575.0,577.2999877929688,562.0250244140625,566.4000244140625,422.0125732421875,5090488.0
2015-02-24,569.75,573.9874877929688,564.4000244140625,568.2000122070312,423.353759765625,6437676.0
2015-02-25,572.2249755859375,583.7000122070312,570.0,579.4000244140625,431.6986389160156,6044972.0
2015-02-26,576.875,577.25,561.3499755859375,564.5250244140625,420.6155090332031,6445776.0
2015-02-27,568.7249755859375,570.1624755859375,562.875,566.4375,422.0404052734375,7801076.0
2015-02-28,,,,,,
2015-03-02,575.75,577.125,569.5125122070312,572.9249877929688,426.8741455078125,7040992.0
2015-03-03,572.5,575.7374877929688,569.5750122070312,574.4625244140625,428.01971435546875,4905552.0
2015-03-04,575.0,578.4749755859375,562.9749755859375,568.6624755859375,423.6982727050781,4375228.0
2015-03-05,566.7625122070312,574.6875,558.3375244140625,561.9000244140625,418.65972900390625,5684916.0
2015-03-09,564.75,564.75,544.75,547.5125122070312,407.9399719238281,7984720.0
2015-03-10,549.5250244140625,551.7374877929688,540.0499877929688,549.5,409.4206848144531,6329916.0
2015-03-11,548.5250244140625,560.0,542.2750244140625,545.5499877929688,406.4775390625,6780912.0
2015-03-12,544.75,556.6124877929688,544.25,554.5750122070312,413.2020263671875,5688564.0
2015-03-13,556.25,557.5,548.0999755859375,555.0999755859375,413.5931091308594,6179684.0
2015-03-16,552.6375122070312,570.5,552.6375122070312,566.6624755859375,422.2080383300781,6818632.0
2015-03-17,566.6624755859375,569.875,554.3125,560.125,417.3371887207031,5539312.0
2015-03-18,563.625,565.7125244140625,555.6375122070312,557.375,415.2882080078125,4905564.0
2015-03-19,558.6500244140625,562.25,555.6875,557.6124877929688,415.4651794433594,6891740.0
2015-03-20,560.25,567.2249755859375,558.2374877929688,564.3624877929688,420.49444580078125,6430896.0
2015-03-23,563.25,568.75,556.375,558.3624877929688,416.02386474609375,5078700.0
2015-03-24,558.7249755859375,563.3499755859375,551.5,552.8624877929688,411.92608642578125,6736532.0
2015-03-25,555.7249755859375,557.2874755859375,550.1875,554.7750244140625,413.3509826660156,6170968.0
2015-03-26,552.0,553.7249755859375,533.0,536.5875244140625,399.7998962402344,15740840.0
2015-03-27,541.0,556.1749877929688,540.75,550.5374755859375,410.1936950683594,10074220.0
2015-03-30,551.4000244140625,560.0,548.7249755859375,557.0,415.0087890625,4623088.0
2015-03-31,561.25,568.4124755859375,551.0875244140625,554.5875244140625,413.2112731933594,8016412.0
2015-04-01,549.7249755859375,549.875,539.4249877929688,543.4874877929688,404.94085693359375,6738488.0
2015-04-06,544.75,546.1749877929688,540.0999755859375,544.5499877929688,405.7325134277344,7741752.0
2015-04-07,543.75,545.7000122070312,534.5,539.875,402.2492370605469,8542268.0
